data_hora_local,precipitacao,pressao_atm,pressao_max,pressao_min,radiacao_global,temp_ar,temp_orvalho,temp_max,temp_min,temp_orvalho_max,temp_orvalho_min,umidade_max,umidade_min,umidade_relativa,vento_direcao,vento_rajada,vento_velocidade
2024-12-31 21:00:00,0.0,918.2,918.2,917.3,0.0,21.3,17.6,21.7,21.2,17.8,17.4,80.0,78.0,79.0,44.0,1.5,0.1
2024-12-31 22:00:00,0.0,918.6,918.7,918.2,0.0,21.3,17.7,21.5,20.9,18.1,17.6,82.0,79.0,80.0,44.0,1.4,0.0
2024-12-31 23:00:00,0.0,918.9,918.9,918.4,0.0,21.0,17.6,21.3,20.4,18.3,17.6,86.0,80.0,81.0,145.0,2.7,0.0
2025-01-01 00:00:00,0.0,918.4,919.0,918.4,0.0,21.4,18.0,21.5,20.5,18.3,17.6,85.0,81.0,81.0,127.0,2.4,0.8
2025-01-01 01:00:00,0.0,917.5,918.4,917.0,0.0,21.2,17.7,21.4,21.1,18.1,17.7,82.0,80.0,80.0,116.0,3.5,0.7
2025-01-01 02:00:00,0.0,917.2,917.6,917.2,0.0,19.0,16.2,21.5,19.0,17.8,16.2,84.0,79.0,84.0,144.0,6.7,2.8
2025-01-01 03:00:00,0.4,917.3,917.3,917.0,0.0,18.6,16.2,19.1,18.6,16.6,16.2,87.0,84.0,86.0,209.0,6.7,1.0
2025-01-01 04:00:00,0.8,916.9,917.3,916.9,0.0,18.1,16.3,18.6,18.1,16.4,16.1,90.0,86.0,89.0,203.0,4.3,1.0
2025-01-01 05:00:00,3.2,917.7,917.7,916.9,0.0,17.9,16.6,18.1,17.9,16.6,16.3,92.0,89.0,92.0,38.0,2.9,0.1
2025-01-01 06:00:00,1.0,918.4,918.4,917.7,3.7,18.1,16.8,18.1,17.9,16.8,16.5,93.0,92.0,93.0,322.0,2.0,0.6
2025-01-01 07:00:00,0.2,918.5,918.5,918.4,163.7,18.4,17.2,18.5,18.0,17.3,16.8,93.0,93.0,93.0,101.0,1.8,0.6
2025-01-01 08:00:00,0.0,918.6,918.6,918.3,614.4,19.9,18.3,19.9,18.3,18.4,17.1,93.0,91.0,91.0,56.0,2.8,0.7
2025-01-01 09:00:00,0.0,919.2,919.2,918.5,1303.5,21.3,18.1,21.3,19.9,18.6,17.1,90.0,79.0,82.0,72.0,3.1,1.0
2025-01-01 10:00:00,0.0,919.2,919.2,919.0,2000.6,23.8,18.3,24.1,21.2,19.4,17.2,82.0,68.0,72.0,79.0,4.3,1.0
2025-01-01 11:00:00,0.2,918.8,919.4,918.8,2796.6,25.4,20.0,26.0,23.5,20.1,17.9,75.0,65.0,72.0,48.0,4.3,1.5
2025-01-01 12:00:00,0.0,918.0,918.8,918.0,3171.0,27.2,19.5,27.3,24.9,20.7,17.6,75.0,55.0,63.0,35.0,5.9,1.4
2025-01-01 13:00:00,0.0,917.3,918.1,917.3,3178.9,27.4,19.0,28.1,26.1,21.0,17.2,66.0,54.0,60.0,11.0,5.0,1.3
2025-01-01 14:00:00,0.0,917.0,917.4,916.9,1577.4,25.7,19.7,28.0,25.4,20.3,16.7,70.0,55.0,70.0,29.0,4.8,1.7
2025-01-01 15:00:00,0.0,916.4,917.0,916.2,2788.7,26.6,20.1,27.6,24.6,21.1,16.8,74.0,58.0,68.0,26.0,8.3,2.1
2025-01-01 16:00:00,0.4,916.1,916.7,916.1,726.9,20.6,18.9,26.6,20.5,20.3,18.1,90.0,68.0,90.0,34.0,10.4,2.4
2025-01-01 17:00:00,0.2,916.3,916.5,916.0,289.3,20.2,18.7,21.2,20.2,19.4,18.6,91.0,89.0,91.0,117.0,6.0,2.5
2025-01-01 18:00:00,22.8,917.0,917.0,916.3,22.6,19.6,18.3,20.4,19.5,18.8,18.1,92.0,91.0,92.0,106.0,6.9,2.2
2025-01-01 19:00:00,1.4,916.5,917.0,916.3,2.9,19.6,18.4,19.8,19.5,18.6,18.2,93.0,92.0,93.0,10.0,5.2,1.5
2025-01-01 20:00:00,0.2,917.9,917.9,916.5,0.0,19.8,18.6,19.8,19.6,18.7,18.4,93.0,93.0,93.0,36.0,4.7,0.1
2025-01-01 21:00:00,0.6,917.8,918.1,917.8,0.0,19.5,18.3,19.8,19.4,18.6,18.2,93.0,93.0,93.0,23.0,3.7,1.0
2025-01-01 22:00:00,0.2,919.7,919.8,917.8,0.0,19.8,18.6,19.8,19.5,18.6,18.3,93.0,93.0,93.0,148.0,2.5,0.3
2025-01-01 23:00:00,0.0,919.3,919.7,918.9,0.0,19.5,18.3,19.8,19.5,18.6,18.3,93.0,93.0,93.0,124.0,2.9,0.9
2025-01-02 00:00:00,0.0,917.9,919.3,917.9,0.0,19.1,17.9,19.6,19.1,18.4,17.9,93.0,93.0,93.0,70.0,3.8,0.3
2025-01-02 01:00:00,0.0,917.3,917.9,917.2,0.0,18.4,17.3,19.1,18.4,17.9,17.2,93.0,93.0,93.0,328.0,1.5,0.8
2025-01-02 02:00:00,0.0,917.3,917.4,917.2,0.0,18.3,17.1,18.5,18.1,17.3,17.0,93.0,93.0,93.0,216.0,1.7,0.0
2025-01-02 03:00:00,0.0,917.2,917.3,917.2,0.0,18.2,17.0,18.4,18.0,17.3,16.9,93.0,93.0,93.0,25.0,1.9,0.3
2025-01-02 04:00:00,0.0,916.9,917.2,916.8,0.0,18.3,17.2,18.4,17.8,17.3,16.7,93.0,93.0,93.0,58.0,1.6,0.3
2025-01-02 05:00:00,0.0,917.3,917.3,916.9,0.0,18.2,17.0,18.4,18.0,17.3,16.9,93.0,93.0,93.0,114.0,1.6,0.1
2025-01-02 06:00:00,0.0,918.0,918.0,917.3,27.3,18.6,17.5,18.6,17.9,17.5,16.8,93.0,93.0,93.0,243.0,0.9,0.0
2025-01-02 07:00:00,0.0,918.4,918.4,918.0,437.9,19.7,18.6,19.7,18.6,18.6,17.5,93.0,93.0,93.0,331.0,0.8,0.1
2025-01-02 08:00:00,0.0,919.0,919.0,918.4,863.9,21.2,19.3,21.4,19.6,19.7,18.4,93.0,88.0,88.0,318.0,1.6,0.2
2025-01-02 09:00:00,0.0,919.2,919.2,919.0,974.5,21.5,19.3,22.0,21.1,20.0,18.5,89.0,84.0,87.0,310.0,4.1,1.7
2025-01-02 10:00:00,0.0,919.2,919.2,919.1,2180.8,23.6,18.9,23.8,21.5,20.2,18.7,88.0,74.0,75.0,319.0,4.8,1.4
2025-01-02 11:00:00,0.2,918.5,919.2,918.5,2341.0,25.4,21.1,25.4,23.2,21.1,18.3,82.0,67.0,77.0,319.0,4.6,2.0
2025-01-02 12:00:00,0.4,918.1,918.5,918.1,1329.0,22.1,19.2,25.6,22.1,20.5,17.8,84.0,68.0,84.0,28.0,7.0,1.5
2025-01-02 13:00:00,0.0,917.3,918.1,917.2,2926.6,25.2,18.9,26.3,22.1,22.0,18.6,87.0,65.0,68.0,344.0,5.4,1.7
2025-01-02 14:00:00,0.0,916.1,917.3,916.1,1995.1,24.6,18.7,27.9,24.1,21.3,18.3,76.0,59.0,70.0,315.0,6.9,2.5
2025-01-02 15:00:00,0.0,915.4,916.2,915.4,1222.9,25.2,20.5,25.4,24.1,20.6,18.1,77.0,68.0,75.0,109.0,6.9,1.3
2025-01-02 16:00:00,0.2,914.8,915.4,914.7,1725.5,26.5,20.5,26.5,24.0,22.4,19.6,83.0,69.0,70.0,88.0,4.6,1.2
2025-01-02 17:00:00,0.0,914.4,914.8,914.4,1017.1,24.4,19.0,27.2,24.4,21.2,18.0,72.0,61.0,72.0,100.0,3.2,1.2
2025-01-02 18:00:00,0.2,914.4,914.5,914.2,227.0,21.7,19.0,24.5,21.6,20.2,18.5,85.0,70.0,85.0,322.0,5.2,0.7
2025-01-02 19:00:00,0.0,914.9,914.9,914.3,57.4,20.7,18.3,21.7,20.7,19.4,18.3,88.0,83.0,86.0,333.0,1.6,0.4
2025-01-02 20:00:00,0.0,916.2,916.2,914.9,0.0,21.1,18.7,21.4,20.5,19.1,18.3,88.0,86.0,86.0,59.0,1.4,0.2
2025-01-02 21:00:00,0.0,916.7,916.7,916.1,0.0,21.0,18.5,21.3,20.6,18.8,18.5,88.0,84.0,86.0,99.0,1.7,0.5
2025-01-02 22:00:00,0.0,916.8,916.8,916.6,0.0,20.7,17.8,21.2,20.5,18.4,17.7,86.0,81.0,84.0,68.0,1.7,0.1
2025-01-02 23:00:00,0.0,916.9,917.1,916.8,0.0,20.9,18.1,20.9,20.3,18.1,17.8,86.0,83.0,84.0,32.0,1.0,0.0
2025-01-03 00:00:00,0.0,916.7,916.9,916.6,0.0,20.4,18.4,20.9,20.4,18.4,17.9,88.0,83.0,88.0,318.0,3.0,0.9
2025-01-03 01:00:00,0.0,916.1,916.7,916.1,0.0,20.4,18.7,20.5,20.4,18.7,18.4,90.0,88.0,90.0,145.0,4.5,0.0
2025-01-03 02:00:00,0.0,916.2,916.4,916.0,0.0,20.4,18.9,20.8,20.2,18.9,18.5,91.0,89.0,91.0,20.0,2.2,0.8
2025-01-03 03:00:00,2.0,915.8,916.2,915.8,0.0,19.9,18.6,20.5,19.9,18.9,18.5,92.0,90.0,92.0,18.0,2.9,0.7
2025-01-03 04:00:00,0.0,915.6,915.8,915.5,0.0,19.7,18.4,19.9,19.7,18.6,18.4,92.0,92.0,92.0,21.0,3.4,0.7
2025-01-03 05:00:00,0.0,915.9,916.0,915.6,0.0,19.6,18.3,19.7,19.5,18.5,18.3,93.0,92.0,93.0,25.0,2.2,0.2
2025-01-03 06:00:00,0.0,916.4,916.4,915.9,16.5,19.6,18.4,19.6,19.5,18.4,18.3,93.0,93.0,93.0,356.0,1.6,0.1
2025-01-03 07:00:00,0.0,916.9,916.9,916.4,271.0,20.3,19.1,20.3,19.6,19.1,18.4,93.0,93.0,93.0,45.0,1.6,0.4
2025-01-03 08:00:00,0.0,917.3,917.3,916.8,528.7,21.1,19.2,21.1,20.3,19.5,19.0,93.0,89.0,89.0,325.0,2.2,0.3
